Chromosome	Start	End	Strand	Gene	Transcription_Start_Site
chr5	88886486	89239653	+	Slc4a4	89028077
chr5	88886486	89239653	+	Slc4a4	89028092
chr11	60699723	60714186	+	Llgl1	60699723
chr11	60699723	60714186	+	Llgl1	60699845
chr13	17880571	17944239	-	Rala	17944239
chr13	17880571	17944239	-	Rala	17943949
chr7	25009849	25072346	-	Grik5	25072292
chr10	45067203	45167198	+	Prep	45067203
chr2	129364570	129371139	-	Il1b	129371139
chr18	77456110	77565161	-	Rnf165	77565136
chr18	77456110	77565161	-	Rnf165	77565147
chr13	107724617	107890064	-	Zswim6	107890064
chr7	26061497	26096197	+	Cyp2b13	26061497
chr7	3703993	3706897	+	Rps9	3703993
chr7	3703993	3706897	+	Rps9	3704038
chr7	3703993	3706897	+	Rps9	3704042
chr7	3703993	3706897	+	Rps9	3704052
chr7	3703993	3706897	+	Rps9	3704320
chr7	3703993	3706897	+	Rps9	3704325
chr13	113794505	114157461	+	Arl15	113794505
chr13	113794505	114157461	+	Arl15	113794622
chr5	43868553	43912375	+	Cd38	43868553
chr2	70474923	70477729	+	Sp5	70474923
chr11	43681998	43721491	+	Pwwp2a	43684145
chr11	43681998	43721491	+	Pwwp2a	43682058
chr11	43681998	43721491	+	Pwwp2a	43681998
chr17	25830505	25833404	-	Stub1	25833361
chr17	25830505	25833404	-	Stub1	25833404
chr17	25830505	25833404	-	Stub1	25832941
chr17	25830505	25833404	-	Stub1	25832947
chr11	116530925	116536675	+	Sphk1	116530925
chr11	116530925	116536675	+	Sphk1	116531121
chr11	116530925	116536675	+	Sphk1	116531744
chr11	116530925	116536675	+	Sphk1	116531911
chr11	116530925	116536675	+	Sphk1	116532444
chr11	116530925	116536675	+	Sphk1	116532454
chr11	116530925	116536675	+	Sphk1	116532457
chr11	116530925	116536675	+	Sphk1	116532473
chr11	116530925	116536675	+	Sphk1	116532925
chr11	116530925	116536675	+	Sphk1	116533268
chr11	116530925	116536675	+	Sphk1	116533575
chr11	116530925	116536675	+	Sphk1	116534740
chr16	21934326	21947552	-	Tmem41a	21947552
chr1	152399830	152510695	+	Colgalt2	152399830
chr2	70553072	70602014	+	Gad1	70562042
chr2	70553072	70602014	+	Gad1	70562196
chr2	70553072	70602014	+	Gad1	70562899
chr2	70553072	70602014	+	Gad1	70553072
chr2	70553072	70602014	+	Gad1	70563442
chr4	133532542	133545996	-	Nudc	133545996
chr4	21677480	21685963	-	Prdm13	21685783
chr4	21677480	21685963	-	Prdm13	21685963
chr19	6046576	6053712	+	Syvn1	6046576
chr19	6046576	6053712	+	Syvn1	6046638
chr19	6046576	6053712	+	Syvn1	6046662
chr19	6046576	6053712	+	Syvn1	6047080
chr19	6046576	6053712	+	Syvn1	6047104
chr7	26173411	26210661	+	Cyp2b9	26173411
chr4	120588745	120609673	+	Gm8439	120588745
chr2	87743752	87747581	+	Olfr1140	87743754
chr2	87743752	87747581	+	Olfr1140	87745854
chr16	88750744	88751635	-	Krtap13	88751635
chr16	88758847	88759792	+	2310034C09Rik	88758847
chr5	103989762	104021919	-	Hsd17b11	104021919
chr5	103989762	104021919	-	Hsd17b11	104021838
chr4	134741554	134768024	-	Ldlrap1	134768024
chr10	11281330	11298052	+	Fbxo30	11281330
chr10	11281330	11298052	+	Fbxo30	11281587
chr2	25998543	26021747	-	Ubac1	26021747
chr2	25998543	26021747	-	Ubac1	26021532
chr2	25998543	26021747	-	Ubac1	26016312
chr2	36887293	36892936	-	Olfr353	36892936
chr2	36887293	36892936	-	Olfr353	36892125
chr2	36887293	36892936	-	Olfr353	36890846
chr7	109523911	109703605	-	Denn2b	109616553
chr7	109523911	109703605	-	Denn2b	109616753
chr7	109523911	109703605	-	Denn2b	109703605
chr7	109523911	109703605	-	Denn2b	109602665
chr7	109523911	109703605	-	Denn2b	109672353
chr7	109523911	109703605	-	Denn2b	109672086
chr7	109523911	109703605	-	Denn2b	109617147
chr11	102838473	102880985	-	Eftud2	102880967
chr11	102838473	102880985	-	Eftud2	102880985
chr11	102838473	102880985	-	Eftud2	102844218
chr11	102838473	102880985	-	Eftud2	102877714
chr12	111678105	111683902	+	Trmt61a	111678105
chr12	111678105	111683902	+	Trmt61a	111678116
chr17	25828867	25831843	+	Jmjd8	25828867
chr17	25828867	25831843	+	Jmjd8	25829043
chr8	79683462	79711740	-	Abce1	79711740
chr13	3940688	3945349	-	Ucn3	3945349
chrX	8327424	8336237	+	Ssxb10	8327424
chr13	38932136	38960875	-	Slc35b3	38960875
chr13	38932136	38960875	-	Slc35b3	38960824
chr13	38932136	38960875	-	Slc35b3	38960529
chr13	38932136	38960875	-	Slc35b3	38943152
chr13	38932136	38960875	-	Slc35b3	38960537
chr13	38932136	38960875	-	Slc35b3	38960507
chr13	38932136	38960875	-	Slc35b3	38960499
chr10	4432467	4455141	+	Armt1	4432467
chr10	4432467	4455141	+	Armt1	4432513
chr10	4432467	4455141	+	Armt1	4432620
chr15	76343523	76346260	+	Cyc1	76343523
chr15	76343523	76346260	+	Cyc1	76343567
chr15	76343523	76346260	+	Cyc1	76343799
chr2	11585437	11604153	-	Rbm17	11603262
chr2	11585437	11604153	-	Rbm17	11604153
chr2	30952959	30959015	+	Tor1b	30952959
chrX	8413305	8422157	+	Ssxb1	8413305
chr11	33117430	33147400	-	Fgf18	33146795
chr11	33117430	33147400	-	Fgf18	33147400
chr4	120666572	120667820	+	Cited4	120666572
chr12	111709488	111713257	-	Bag5	111713257
chr12	111709488	111713257	-	Bag5	111712927
chr12	111709488	111713257	-	Bag5	111712953
chr13	108002715	108158623	-	Ndufaf2	108158623
chr13	108002715	108158623	-	Ndufaf2	108158591
chr13	108002715	108158623	-	Ndufaf2	108158484
chr16	15623897	15637400	-	Mcm4	15637400
chr16	15623897	15637400	-	Mcm4	15635306
chr16	15623897	15637400	-	Mcm4	15636258
chr1	74236084	74268209	+	Arpc2	74236084
chr1	74236084	74268209	+	Arpc2	74236497
chr1	74236084	74268209	+	Arpc2	74236517
chr1	74236084	74268209	+	Arpc2	74236550
chr12	87305058	87388355	-	Sptlc2	87388355
chr5	114444269	114460591	+	Mvk	114444269
chr5	114444269	114460591	+	Mvk	114444286
chr5	114444269	114460591	+	Mvk	114444303
chr5	114444269	114460591	+	Mvk	114444306
chr5	114444269	114460591	+	Mvk	114452420
chr1	53755506	53785224	-	Stk17b	53785224
chr1	53755506	53785224	-	Stk17b	53785157
chr16	20308387	20325404	-	Cyp2ab1	20325404
chr16	20308387	20325404	-	Cyp2ab1	20316750
chr16	20308387	20325404	-	Cyp2ab1	20323065
chrY	50608251	50634461	+	Gm20883	50608251
chrX	8366978	8375390	+	Ssxb9	8366978
chr2	32377097	32381938	-	1110008P14Rik	32381862
chr2	32377097	32381938	-	1110008P14Rik	32381938
chr5	43913144	43913917	+	Gm7879	43913144
chr5	43913144	43913917	+	Gm7879	43913147
chr13	108044446	108049172	+	Smim15	108044446
chr13	108044446	108049172	+	Smim15	108044450
chr13	108044446	108049172	+	Smim15	108044486
chr13	108044446	108049172	+	Smim15	108044489
chr13	108044446	108049172	+	Smim15	108046411
chr13	108044446	108049172	+	Smim15	108046458
chr17	17374309	17394899	+	Riok2	17374309
chr17	17374309	17394899	+	Riok2	17374572
chr17	17374309	17394899	+	Riok2	17374590
chr18	20665280	20674321	+	Ttr	20665280
chr6	40964754	40968435	+	1810009J06Rik	40964754
chrY	2599099	2599434	+	H2al2c	2599099
chr13	51651697	51684044	+	Secisbp2	51651697
chr13	51651697	51684044	+	Secisbp2	51651741
chrY	2662471	2663658	-	Sry	2663658
chr3	92080271	92083142	-	Lor	92083142
chr2	151542483	151561692	+	Fkbp1a	151542483
chr2	151542483	151561692	+	Fkbp1a	151543899
chr5	4192367	4197651	+	Mterf1b	4192367
chr11	4986824	5042791	+	Ap1b1	4986824
chr11	4986824	5042791	+	Ap1b1	5009530
chr2	36905680	36916038	+	Olfr354	36905680
chr2	36905680	36916038	+	Olfr354	36906911
chr18	20558074	20604521	+	Dsg2	20558074
chr18	20558074	20604521	+	Dsg2	20558155
chr18	20558074	20604521	+	Dsg2	20558246
chr2	32352327	32380970	+	Ciz1	32352327
chr2	32352327	32380970	+	Ciz1	32363010
chr2	32352327	32380970	+	Ciz1	32363061
chr2	32352327	32380970	+	Ciz1	32363198
chr2	32352327	32380970	+	Ciz1	32363805
chr2	32352327	32380970	+	Ciz1	32367412
chr2	32352327	32380970	+	Ciz1	32367472
chr2	32352327	32380970	+	Ciz1	32370909
chr2	32352327	32380970	+	Ciz1	32375489
chr2	32352327	32380970	+	Ciz1	32363810
chr11	78512193	78522736	+	Poldip2	78512193
chr2	111230360	111235286	-	Olfr1275	111235035
chr2	111230360	111235286	-	Olfr1275	111235286
chr2	111230360	111235286	-	Olfr1275	111231837
chr6	40995830	40999479	-	Gm2663	40999479
chr2	36925190	36928897	-	Olfr355	36928897
chr2	36925190	36928897	-	Olfr355	36928112
chr3	92122204	92123947	-	Prr9	92123947
chr8	47490115	47533470	-	Trappc11	47533467
chr8	47490115	47533470	-	Trappc11	47511348
chr6	4600839	4643355	+	Casd1	4600839
chr6	4600839	4643355	+	Casd1	4600949
chr6	4600839	4643355	+	Casd1	4601203
chr6	4600839	4643355	+	Casd1	4631127
chr6	134609207	134632488	-	Mansc1	134632488
chr1	93918311	93942650	+	Gal3st2b	93918311
chr1	93918311	93942650	+	Gal3st2b	93928037
chr7	22761697	22762590	+	Vmn1r157	22761697
chr2	101950203	102186385	-	Ldlrad3	102186385
chr2	101950203	102186385	-	Ldlrad3	102186358
chr5	33104219	33162870	+	Slc5a1	33104219
chr3	92134997	92142744	-	Lelp1	92142744
chr7	22789859	22790782	-	Vmn1r158	22790782
chr2	36937121	36938068	+	Olfr356	36937121
chr17	17121415	17146831	+	Zfp97	17121415
chr12	110667688	110682619	-	1700001K19Rik	110682619
chr12	110667688	110682619	-	1700001K19Rik	110682612
chr7	22842688	22843605	-	Vmn1r159	22843605
chr12	35497974	35535038	-	Ahr	35535038
chr17	17064113	17089628	+	Zfp960	17064113
chr2	36993827	37001847	+	Olfr357	36993827
chr2	36993827	37001847	+	Olfr357	36996727
chr12	78861819	78887010	+	Eif2s1	78861819
chr2	111254516	111262026	+	Olfr1276	111254516
chr2	111254516	111262026	+	Olfr1276	111257117
chr7	22871224	22872147	+	Vmn1r160	22871224
chr2	129458359	129536602	-	F830045P16Rik	129536602
chr7	22983714	22984673	-	Vmn1r258	22984673
chr17	15803188	15831039	-	Rgmb	15826586
chr17	15803188	15831039	-	Rgmb	15826560
chr17	15803188	15831039	-	Rgmb	15830651
chr17	15803188	15831039	-	Rgmb	15830885
chr17	15803188	15831039	-	Rgmb	15831039
chr8	79711820	79779059	+	Anapc10	79711820
chr8	79711820	79779059	+	Anapc10	79711851
chr4	152325742	152334071	+	Rpl22	152325853
chr4	152325742	152334071	+	Rpl22	152325867
chr4	152325742	152334071	+	Rpl22	152325869
chr7	23019006	23019923	-	Vmn1r259	23019923
chr1	20890606	20939650	+	Paqr8	20890606
chr1	20890606	20939650	+	Paqr8	20917840
chr1	20890606	20939650	+	Paqr8	20922259
chr1	20890606	20939650	+	Paqr8	20917874
chr1	66719248	66817562	-	Kansl1l	66801210
chr1	66719248	66817562	-	Kansl1l	66817546
chr1	66719248	66817562	-	Kansl1l	66817562
chr6	37327255	37442146	-	Creb3l2	37442146
chr16	97741933	97763787	-	Ripk4	97763787
chr5	112384354	112394866	-	Asphd2	112392213
chr5	112384354	112394866	-	Asphd2	112394024
chr5	112384354	112394866	-	Asphd2	112394866
chr5	112384354	112394866	-	Asphd2	112393958
chr5	112384354	112394866	-	Asphd2	112394301
chr5	112384354	112394866	-	Asphd2	112393930
chr5	104046306	104065379	+	Nudt9	104046306
chr5	104046306	104065379	+	Nudt9	104046526
chr5	104046306	104065379	+	Nudt9	104046869
chr5	104046306	104065379	+	Nudt9	104047154
chr5	104046306	104065379	+	Nudt9	104047621
chr2	70508819	70540884	+	Erich2	70508819
chr2	70508819	70540884	+	Erich2	70508831
chr2	70508819	70540884	+	Erich2	70509497
chr2	37002163	37009335	-	Olfr358	37009335
chr2	37002163	37009335	-	Olfr358	37005647
chr11	95414080	95493406	+	Spop	95414098
chr11	95414080	95493406	+	Spop	95414080
chr11	95414080	95493406	+	Spop	95414095
chr11	95414080	95493406	+	Spop	95414243
chr16	4544661	4559854	-	Tfap4	4559854
chr16	4544661	4559854	-	Tfap4	4558783
chr16	4544661	4559854	-	Tfap4	4552962
chr7	23055540	23056463	+	Vmn1r163	23055540
chr7	83774101	83794880	-	Cfap161	83794819
chr7	83774101	83794880	-	Cfap161	83794880
chr7	83774101	83794880	-	Cfap161	83794171
chr7	30670722	30671605	-	Pmis2	30671605
chr7	23066533	23067456	-	Vmn1r260	23067456
chr3	92215799	92221911	+	Sprr2a1	92215799
chrY	84746685	84772902	+	Gm21409	84746685
chr7	23131854	23144480	-	Gm10662	23144480
chr7	23131854	23144480	-	Gm10662	23133937
chr11	60714123	60727263	-	Flii	60727263
chr3	92215920	92256724	+	Sprr2a2	92250747
chr3	92215920	92256724	+	Sprr2a2	92215920
chr5	43978858	43981779	-	Fgfbp1	43981779
chr5	43978858	43981779	-	Fgfbp1	43981764
chr5	43978858	43981779	-	Fgfbp1	43981053
chr4	148130384	148145699	+	Mad2l2	148130915
chr4	148130384	148145699	+	Mad2l2	148140182
chr4	148130384	148145699	+	Mad2l2	148140724
chr4	148130384	148145699	+	Mad2l2	148140743
chr11	43729512	43748008	-	Ttc1	43748008
chr11	43729512	43748008	-	Ttc1	43747982
chr6	37530173	37568815	+	Akr1d1	37530173
chrX	52988137	53021659	+	Hprt	52988137
chr10	19000910	19015657	-	Tnfaip3	19015410
chr10	19000910	19015657	-	Tnfaip3	19011963
chr10	19000910	19015657	-	Tnfaip3	19015657
chr10	19000910	19015657	-	Tnfaip3	19014582
chr7	30698926	30700536	+	2200002J24Rik	30699783
chr19	5068078	5070682	+	Cd248	5068078
chrX	8454345	8461726	-	Ssxb2	8461726
chr2	111264946	111274106	-	Olfr1277	111274106
chr2	111264946	111274106	-	Olfr1277	111270388
chr19	45578254	45660312	-	Fbxw4	45631138
chr19	45578254	45660312	-	Fbxw4	45660312
chr19	45578254	45660312	-	Fbxw4	45593499
chr19	45578254	45660312	-	Fbxw4	45593467
chr19	45578254	45660312	-	Fbxw4	45591842
chr19	45578254	45660312	-	Fbxw4	45592661
chr19	45578254	45660312	-	Fbxw4	45640803
chr7	45335290	45338974	+	Hrc	45335290
chr7	45335290	45338974	+	Hrc	45335347
chr11	84832361	84870817	-	Ggnbp2	84870789
chr11	84832361	84870817	-	Ggnbp2	84870817
chr11	84832361	84870817	-	Ggnbp2	84870202
chr11	84832361	84870817	-	Ggnbp2	84870646
chr11	84832361	84870817	-	Ggnbp2	84870740
chr11	84832361	84870817	-	Ggnbp2	84836468
chr11	84832361	84870817	-	Ggnbp2	84870725
chr11	84832361	84870817	-	Ggnbp2	84870491
chr11	84832361	84870817	-	Ggnbp2	84870738
chr6	70765720	70792232	-	Rpia	70792232
chr15	38933144	38952912	+	Baalc	38933144
chr15	38933144	38952912	+	Baalc	38933909
chr5	87774567	87788797	+	Csn1s2a	87774567
chr5	87774567	87788797	+	Csn1s2a	87774581
chr8	104170442	104219122	+	Bean1	104170442
chr8	104170442	104219122	+	Bean1	104170513
chr8	104170442	104219122	+	Bean1	104170583
chr8	104170442	104219122	+	Bean1	104170894
chr13	95323612	95337841	+	Zbed3	95323612
chr13	95323612	95337841	+	Zbed3	95325237
chr13	95323612	95337841	+	Zbed3	95326767
chr19	5070859	5085531	-	Tmem151a	5085487
chr19	5070859	5085531	-	Tmem151a	5085531
chr12	113156421	113166048	+	Tedc1	113156421
chr7	26260334	26270619	+	Vmn1r184	26260334
chr7	26260334	26270619	+	Vmn1r184	26266831
chr1	66700831	66719805	+	Rpe	66700831
chr1	134296783	134332928	-	Ppfia4	134332928
chr1	134296783	134332928	-	Ppfia4	134327266
chr1	93990509	94017147	+	Gal3st2c	93990509
chr4	43631935	43651244	+	Npr2	43631935
chr4	43631935	43651244	+	Npr2	43632185
chr4	43631935	43651244	+	Npr2	43641262
chr4	43631935	43651244	+	Npr2	43641284
chr1	166254139	166316823	+	Ildr2	166254139
chr1	166254139	166316823	+	Ildr2	166254193
chr7	32441541	32442722	+	Scgb1b29	32441541
chr2	37065746	37069651	+	Olfr360	37065746
chr2	37065746	37069651	+	Olfr360	37068307
chr10	78425669	78427622	+	Cstb	78425669
chr4	21879673	21912162	+	Coq3	21879673
chr16	17898637	17900024	+	Tssk2	17898637
chr4	49678747	49682024	-	Ppp3r2	49682024
chr7	25072567	25083492	+	Zfp574	25077205
chr7	25072567	25083492	+	Zfp574	25077284
chr5	142692512	142722490	+	Slc29a4	142692512
chr5	142692512	142722490	+	Slc29a4	142702101
chr6	82618992	82705365	-	Pole4	82652870
chr6	82618992	82705365	-	Pole4	82652929
chr2	111290136	111298886	+	Olfr1278	111290136
chr2	111290136	111298886	+	Olfr1278	111290174
chr2	111290136	111298886	+	Olfr1278	111290628
chr2	111290136	111298886	+	Olfr1278	111292270
chr11	69784036	69795943	-	Chrnb1	69795943
chr7	83879873	83884305	-	Tlnrd1	83884305
chr4	49661611	49845744	-	Grin3a	49845549
chr13	4049011	4090688	+	Akr1c14	4049011
chr13	4049011	4090688	+	Akr1c14	4059591
chr1	94020451	94028334	+	Neu4	94020451
chr1	94020451	94028334	+	Neu4	94020493
chr11	55158470	55185077	-	Slc36a2	55185077
chr18	41875600	41951242	-	Prelid2	41951242
chr18	41875600	41951242	-	Prelid2	41951194
chr4	129058271	129085886	+	Rnf19b	129058409
chr4	129058271	129085886	+	Rnf19b	129058814
chr4	129058271	129085886	+	Rnf19b	129078971
chr4	129058271	129085886	+	Rnf19b	129058271
chr2	67565871	68122689	+	B3galt1	67748212
chr2	67565871	68122689	+	B3galt1	68104671
chr2	67565871	68122689	+	B3galt1	68117713
chr11	50354462	50359699	+	Cby3	50357761
chr11	50354462	50359699	+	Cby3	50354462
chr8	119344488	119348922	+	Hsbp1	119344488
chr8	119344488	119348922	+	Hsbp1	119344522
chrX	8514052	8524954	-	Gm14459	8524954
chr11	87376645	87404954	-	Rad51c	87404523
chr11	87376645	87404954	-	Rad51c	87404954
chr2	27009926	27021089	+	Cacfd1	27009926
chr2	27009926	27021089	+	Cacfd1	27010082
chr2	27009926	27021089	+	Cacfd1	27010593
chr2	111300635	111309043	+	Olfr1279	111300635
chr2	111300635	111309043	+	Olfr1279	111300682
chr2	111300635	111309043	+	Olfr1279	111306201
chr17	6430112	6436296	+	Dynlt1b	6430112
chr19	6053622	6057785	-	Mrpl49	6057785
chr19	6053622	6057785	-	Mrpl49	6057758
chr19	6053622	6057785	-	Mrpl49	6057079
chrX	8542608	8548255	-	Ssxb6	8548255
chr1	94038305	94052553	-	Pdcd1	94052553
chr5	4753839	4758035	-	Fzd1	4758035
chrY	2720339	2720674	-	H2al2b	2720674
chr19	45560615	45579763	+	Gm17018	45560615
chr10	78436744	78464975	-	Pdxk	78464975
chr5	16791810	16882052	+	Gm28710	16791810
chr7	109703690	109712189	+	Akip1	109703690
chr7	109703690	109712189	+	Akip1	109703752
chr19	4878668	4885397	+	Zdhhc24	4878672
chr4	156034840	156059414	-	Ttll10	156050817
chr4	156034840	156059414	-	Ttll10	156059414
chr4	156034840	156059414	-	Ttll10	156050465
chr15	73834561	73839908	+	Gm6569	73834561
chr12	72881109	72940774	-	4930447C04Rik	72917906
chr12	72881109	72940774	-	4930447C04Rik	72940774
chr12	72881109	72940774	-	4930447C04Rik	72937977
chr12	72881109	72940774	-	4930447C04Rik	72940083
chr12	72881109	72940774	-	4930447C04Rik	72917760
chrY	2785165	2796205	-	Gm4064	2796205
chr10	34483399	34611278	+	Frk	34483399
chr10	34483399	34611278	+	Frk	34483520
chr17	34981862	34985891	+	Lsm2	34981880
chr17	34981862	34985891	+	Lsm2	34982129
chr17	34981862	34985891	+	Lsm2	34982159
chr1	60716800	60773359	+	Cd28	60746358
chr2	37083736	37089290	-	Olfr361	37089225
chr2	37083736	37089290	-	Olfr361	37089290
chr2	37083736	37089290	-	Olfr361	37085746
chr15	73760067	73839699	-	Mroh5	73830983
chr15	73760067	73839699	-	Mroh5	73839671
chr15	73760067	73839699	-	Mroh5	73819410
chr19	12599974	12628251	+	Gm4952	12599974
chr19	12599974	12628251	+	Gm4952	12600016
chr10	4482502	4562231	+	Ccdc170	4482502
chr10	4482502	4562231	+	Ccdc170	4511543
chr10	4482502	4562231	+	Ccdc170	4509872
chr18	11964450	12121537	-	Tmem241	12074631
chr18	11964450	12121537	-	Tmem241	12121514
chr18	11964450	12121537	-	Tmem241	12121530
chr18	11964450	12121537	-	Tmem241	12121480
chr7	89954654	89980983	-	Eed	89980983
chr7	89954654	89980983	-	Eed	89964841
chr7	89954654	89980983	-	Eed	89980702
chr7	89954654	89980983	-	Eed	89980976
chr8	3500457	3515232	+	Mcoln1	3500457
chr8	3500457	3515232	+	Mcoln1	3500504
chr8	3500457	3515232	+	Mcoln1	3500534
chr8	3500457	3515232	+	Mcoln1	3511790
chr8	3500457	3515232	+	Mcoln1	3511801
chr8	3500457	3515232	+	Mcoln1	3512682
chr7	109712181	109723850	-	BC051019	109723786
chr7	109712181	109723850	-	BC051019	109723850
chr7	109712181	109723850	-	BC051019	109721016
chr10	79755076	79758596	+	Fgf22	79755076
chr10	79755076	79758596	+	Fgf22	79755137
chr12	85234520	85270599	-	Mlh3	85270599
chr12	85234520	85270599	-	Mlh3	85270591
chr3	54361109	54391037	+	Postn	54361109
chr3	54361109	54391037	+	Postn	54361125
chr3	54361109	54391037	+	Postn	54361143
chr3	54361109	54391037	+	Postn	54377560
chr4	34688559	34730206	-	Cfap206	34730206
chr4	34688559	34730206	-	Cfap206	34730178
chr4	34688559	34730206	-	Cfap206	34730195
chr12	78888691	78906964	-	Plek2	78906964
chr10	81559488	81566362	+	Tle5	81559494
chr4	148098437	148130698	-	Draxin	148130698
chr10	79758515	79766952	-	Rnf126	79766952
chr17	24886643	24892152	+	Spsb3	24886643
chr17	24886643	24892152	+	Spsb3	24886680
chr17	24886643	24892152	+	Spsb3	24886737
chr17	24886643	24892152	+	Spsb3	24887165
chr17	24886643	24892152	+	Spsb3	24886674
chrY	2830699	2873492	+	Gm10256	2862139
chrY	2830699	2873492	+	Gm10256	2862158
chrY	2830699	2873492	+	Gm10256	2830699
chr10	63430098	65003667	+	Ctnna3	63430098
chr10	63430098	65003667	+	Ctnna3	63457510
chr10	63430098	65003667	+	Ctnna3	63504037
chr11	73199460	73224511	+	Shpk	73199460
chr10	101681487	102391469	+	Mgat4c	101681626
chr10	101681487	102391469	+	Mgat4c	101681641
chr10	101681487	102391469	+	Mgat4c	101681746
chr10	101681487	102391469	+	Mgat4c	102158858
chr10	101681487	102391469	+	Mgat4c	102158889
chr10	101681487	102391469	+	Mgat4c	102159079
chr10	101681487	102391469	+	Mgat4c	102374435
chr10	101681487	102391469	+	Mgat4c	101681487
chr6	126923050	126939587	-	Rad51ap1	126939587
chr6	126923050	126939587	-	Rad51ap1	126939571
chr6	70844515	70905245	+	Eif2ak3	70844515
chr6	70844515	70905245	+	Eif2ak3	70844553
chr16	31878810	31899020	+	Meltf	31878810
chr7	26307169	26315088	+	Cyp2a4	26307169
chr13	58233346	58275699	-	Gkap1	58274188
chr13	58233346	58275699	-	Gkap1	58243951
chr13	58233346	58275699	-	Gkap1	58274113
chr13	58233346	58275699	-	Gkap1	58274840
chr13	58233346	58275699	-	Gkap1	58275699
chr7	6730578	6967219	+	Usp29	6730583
chr7	6730578	6967219	+	Usp29	6730741
chr7	6730578	6967219	+	Usp29	6947602
chr7	6730578	6967219	+	Usp29	6961160
chr1	53806876	54195168	-	Hecw2	54194048
chr1	53806876	54195168	-	Hecw2	54195034
chr17	23833347	23836056	-	Prss33	23835743
chrY	2830680	2841854	+	Rbmy	2830680
chrY	2830680	2841854	+	Rbmy	2830699
chr1	20951626	20990841	+	Efhc1	20951688
chr3	92285417	92291405	+	Sprr2a3	92285417
chr3	92285417	92291405	+	Sprr2a3	92288566
chr10	63928472	64090277	-	Lrrtm3	64090274
chr11	43774606	43901210	-	Adra1b	43901210
chr11	43774606	43901210	-	Adra1b	43836332
chr4	136610437	136613226	+	Tex46	136610437
chrX	8583404	8591816	-	Ssxb3	8591816
chrX	8583404	8591816	-	Ssxb3	8589246
chr12	103434211	103440239	+	Ifi27	103434211
chr12	103434211	103440239	+	Ifi27	103434212
chr12	103434211	103440239	+	Ifi27	103434259
chr12	103434211	103440239	+	Ifi27	103434292
chr8	19729576	19753527	+	4930467E23Rik	19729576
chr17	23836785	23844172	-	Prss41	23844172
chr2	91457511	91513779	+	Lrp4	91457511
chr6	83762644	83768326	+	Ankrd53	83762644
chr6	83762644	83768326	+	Ankrd53	83762686
chr10	7589800	7625483	+	Lrp11	7589800
chr10	7589800	7625483	+	Lrp11	7589817
chr10	7589800	7625483	+	Lrp11	7589979
chr10	7589800	7625483	+	Lrp11	7590127
chr10	7589800	7625483	+	Lrp11	7596184
chr5	107830099	107831776	+	Ube2d2b	107830099
chr10	11343404	11459644	+	Epm2a	11343404
chr10	40287458	40302188	-	Amd1	40302186
chr10	40287458	40302188	-	Amd1	40301576
chr10	40287458	40302188	-	Amd1	40302188
chr5	107744795	107875107	-	Evi5	107875107
chr5	107744795	107875107	-	Evi5	107869168
chr5	107744795	107875107	-	Evi5	107875059
chr5	107744795	107875107	-	Evi5	107868388
chr13	120140246	120155335	+	Gm20767	120140246
chr13	120140246	120155335	+	Gm20767	120154627
chr15	3965445	3979573	-	Fbxo4	3979573
chr8	19903392	19925713	+	Gm31371	19903392
chr3	92316620	92318085	+	Sprr2b	92316620
chr10	81070035	81082559	+	Thop1	81070035
chr7	46195350	46238503	-	Ush1c	46238492
chr7	46195350	46238503	-	Ush1c	46238503
chr7	46195350	46238503	-	Ush1c	46238464
chr7	46195350	46238503	-	Ush1c	46238498
chr7	46195350	46238503	-	Ush1c	46230314
chr7	46195350	46238503	-	Ush1c	46230583
chr3	88532395	88541396	+	Mex3a	88532395
chr18	41985323	41999049	-	Grxcr2	41999049
chr6	18848579	18855751	+	Lsm8	18848579
chr6	18848579	18855751	+	Lsm8	18848668
chr7	41835814	41872712	-	Vmn2r58	41872712
chr2	19199302	19310241	+	Armc3	19199302
chr8	41340197	41374773	-	Asah1	41374773
chr12	72939892	72944899	+	Six6	72939892
chrX	8684887	8690844	-	Ssxb8	8690844
chr4	98355370	98383306	-	Tm2d1	98383306
chr4	98355370	98383306	-	Tm2d1	98383246
chr4	98355370	98383306	-	Tm2d1	98383060
chr4	98355370	98383306	-	Tm2d1	98383232
chr9	15559864	15627933	-	Deup1	15626731
chr9	15559864	15627933	-	Deup1	15627903
chr9	15559864	15627933	-	Deup1	15627914
chr9	15559864	15627933	-	Deup1	15627933
chr4	133553376	133556536	+	Nr0b2	133553376
chr5	34638536	34660148	-	Nop14	34660148
chr5	34638536	34660148	-	Nop14	34647241
chr17	23843855	23859779	+	Prss32	23853543
chr3	92339140	92340873	+	Sprr2d	92339140
chr12	78961795	79007627	-	Tmem229b	78983478
chr12	78961795	79007627	-	Tmem229b	79007627
chr12	78961795	79007627	-	Tmem229b	78980763
chr12	78961795	79007627	-	Tmem229b	79007277
chr12	78961795	79007627	-	Tmem229b	79007340
chr13	19749682	19824257	-	Gpr141	19824257
chr13	19749682	19824257	-	Gpr141	19824227
chr7	15882617	15904020	+	Crxos	15882617
chr7	15882617	15904020	+	Crxos	15882653
chr7	15882617	15904020	+	Crxos	15896124
chr7	15882617	15904020	+	Crxos	15896171
chr7	15882617	15904020	+	Crxos	15901646
chr18	10325177	10562940	+	Greb1l	10325179
