Chromosome	Start	End	Strand	Gene	Transcription_Start_Site
12	51348061	51376986	+	G2e3	51348372
5	73019987	73256619	-	Fryl	73071175
5	73019987	73256619	-	Fryl	73256619
5	73019987	73256619	-	Fryl	73035042
5	73019987	73256619	-	Fryl	73088420
5	73019987	73256619	-	Fryl	73071299
5	73019987	73256619	-	Fryl	73119844
5	73019987	73256619	-	Fryl	73122254
5	73019987	73256619	-	Fryl	73191879
5	73019987	73256619	-	Fryl	73148136
16	58995357	59001441	+	Olfr183	58995357
16	58995357	59001441	+	Olfr183	58995362
16	58995357	59001441	+	Olfr183	58995385
7	18813937	18821607	-	Psg17	18821607
17	36898118	36910214	+	Trim31	36898118
2	25657952	25661977	+	Lcn5	25657952
2	25657952	25661977	+	Lcn5	25657955
11	74770830	74828525	+	Mettl16	74770830
11	74770830	74828525	+	Mettl16	74770916
1	30997842	31222684	-	4931428L18Rik	31222617
1	30997842	31222684	-	4931428L18Rik	30999904
1	30997842	31222684	-	4931428L18Rik	31222597
3	89715022	89753446	+	Adar	89715022
3	89715022	89753446	+	Adar	89730748
1	84369839	84696221	-	Dner	84696221
1	84369839	84696221	-	Dner	84640485
1	84369839	84696221	-	Dner	84623841
11	21321138	21371201	-	Ugp2	21370477
11	21321138	21371201	-	Ugp2	21371201
17	27189600	27204469	-	Lemd2	27204469
17	27189600	27204469	-	Lemd2	27203676
17	25133391	25162104	+	Clcn7	25133391
17	25133391	25162104	+	Clcn7	25136622
17	25133391	25162104	+	Clcn7	25145809
4	42114817	42115917	+	Gm13304	42114817
1	36419871	36445271	-	Lman2l	36439668
1	36419871	36445271	-	Lman2l	36445271
1	36419871	36445271	-	Lman2l	36428366
7	34674468	34812711	-	Chst8	34753812
7	34674468	34812711	-	Chst8	34812686
1	163779583	163917109	+	Kifap3	163779583
18	34562634	34579115	-	Nme5	34579115
9	106475963	106485424	+	Rrp9	106477269
1	31176401	31204725	+	Lgsn	31176401
1	31176401	31204725	+	Lgsn	31189470
1	150361305	150393080	-	Odr4	150393080
1	150361305	150393080	-	Odr4	150392762
1	150361305	150393080	-	Odr4	150392719
1	150361305	150393080	-	Odr4	150393055
3	106547798	106575890	+	Dram2	106547798
3	106547798	106575890	+	Dram2	106547831
3	106547798	106575890	+	Dram2	106547864
3	106547798	106575890	+	Dram2	106547872
3	106547798	106575890	+	Dram2	106547877
3	106547798	106575890	+	Dram2	106547881
17	35833921	35838306	-	Tubb5	35838306
17	35833921	35838306	-	Tubb5	35838208
3	94464983	94480341	-	Riiad1	94473591
6	8259288	8459470	+	Umad1	8259288
6	8259288	8459470	+	Umad1	8259350
6	8259288	8459470	+	Umad1	8259382
6	8259288	8459470	+	Umad1	8259428
6	8259288	8459470	+	Umad1	8259430
6	8259288	8459470	+	Umad1	8270466
12	75714249	75735729	-	Sgpp1	75735729
12	75714249	75735729	-	Sgpp1	75735696
8	85067568	85067982	-	Gm5741	85067982
2	138256565	138589292	+	Btbd3	138278493
2	138256565	138589292	+	Btbd3	138256565
19	9985174	10001633	-	Best1	10001633
19	9985174	10001633	-	Best1	9998570
16	59025797	59030291	-	Olfr186	59030278
16	59025797	59030291	-	Olfr186	59030291
16	59025797	59030291	-	Olfr186	59027927
4	96027534	96077546	-	Cyp2j13	96077546
4	96027534	96077546	-	Cyp2j13	96077524
4	96027534	96077546	-	Cyp2j13	96062029
4	96027534	96077546	-	Cyp2j13	96077540
12	91806043	91849157	-	Sel1l	91849157
12	91806043	91849157	-	Sel1l	91849129
15	74813452	74818815	-	Gml	74817473
15	74813452	74818815	-	Gml	74818813
15	74813452	74818815	-	Gml	74818815
10	125219270	125389465	-	Slc16a7	125328963
10	125219270	125389465	-	Slc16a7	125328535
10	125219270	125389465	-	Slc16a7	125389465
10	125219270	125389465	-	Slc16a7	125308816
10	125219270	125389465	-	Slc16a7	125342179
11	17159263	17200375	+	Ppp3r1	17159263
2	121128307	121140653	-	Lcmt2	121140653
2	121128307	121140653	-	Lcmt2	121140378
Y	18089116	18091556	+	Ssty1	18089116
Y	18089116	18091556	+	Ssty1	18090734
3	113555710	113606699	-	Amy1	113577830
3	113555710	113606699	-	Amy1	113574762
3	113555710	113606699	-	Amy1	113574272
3	113555710	113606699	-	Amy1	113606699
1	132880273	132940005	+	Lrrn2	132880273
2	5951469	6056703	+	Upf2	5951469
2	5951469	6056703	+	Upf2	6023339
9	35046576	35119268	-	St3gal4	35116873
9	35046576	35119268	-	St3gal4	35119183
9	35046576	35119268	-	St3gal4	35106667
9	35046576	35119268	-	St3gal4	35099071
9	35046576	35119268	-	St3gal4	35119268
9	35046576	35119268	-	St3gal4	35099116
9	35046576	35119268	-	St3gal4	35072631
9	35046576	35119268	-	St3gal4	35076361
9	35046576	35119268	-	St3gal4	35055794
9	106470322	106476949	-	Parp3	106476949
9	106470322	106476949	-	Parp3	106476376
9	106470322	106476949	-	Parp3	106476669
9	106470322	106476949	-	Parp3	106476610
9	106470322	106476949	-	Parp3	106476104
9	106470322	106476949	-	Parp3	106476395
9	22475715	22888280	+	Bbs9	22475715
9	22475715	22888280	+	Bbs9	22475722
9	22475715	22888280	+	Bbs9	22475731
9	22475715	22888280	+	Bbs9	22475867
9	22475715	22888280	+	Bbs9	22490829
9	22475715	22888280	+	Bbs9	22635665
4	44755877	44932215	+	Zcchc7	44755877
4	44755877	44932215	+	Zcchc7	44756568
4	44755877	44932215	+	Zcchc7	44756639
4	44755877	44932215	+	Zcchc7	44923118
8	22128283	22166435	-	Nek3	22166412
8	22128283	22166435	-	Nek3	22166435
8	22128283	22166435	-	Nek3	22162494
1	36372291	36422110	+	Fer1l5	36372291
7	30922372	30924681	-	Hamp2	30924181
7	30922372	30924681	-	Hamp2	30924681
14	14803415	15012059	+	Nek10	14803415
14	14803415	15012059	+	Nek10	14820765
14	14803415	15012059	+	Nek10	14820815
1	87386363	87394729	-	Kcnj13	87394729
1	87386363	87394729	-	Kcnj13	87389389
5	64092950	64128351	+	Pgm2	64092950
5	64092950	64128351	+	Pgm2	64112101
5	147430161	147548502	+	Pan3	147430161
5	147430161	147548502	+	Pan3	147430453
5	147430161	147548502	+	Pan3	147450660
5	147430161	147548502	+	Pan3	147450740
5	147430161	147548502	+	Pan3	147519687
5	147430161	147548502	+	Pan3	147539277
11	17182107	17233796	+	Wdr92	17211918
10	25169090	25307870	-	Akap7	25200158
10	25169090	25307870	-	Akap7	25220691
10	25169090	25307870	-	Akap7	25299164
10	25169090	25307870	-	Akap7	25296100
10	25169090	25307870	-	Akap7	25299107
10	25169090	25307870	-	Akap7	25297073
10	25169090	25307870	-	Akap7	25307870
7	45027563	45052881	-	Prr12	45052881
4	147132038	147180579	+	Zfp991	147132038
4	147132038	147180579	+	Zfp991	147150494
7	30942368	30944032	-	Hamp	30944032
9	36729344	36767679	-	Stt3a	36767679
9	36729344	36767679	-	Stt3a	36754867
9	36729344	36767679	-	Stt3a	36767609
9	36729344	36767679	-	Stt3a	36767350
19	4081578	4087340	+	Cabp2	4081578
19	4081578	4087340	+	Cabp2	4082488
19	4081578	4087340	+	Cabp2	4083490
19	4081578	4087340	+	Cabp2	4083519
17	21730795	21769342	+	Zfp229	21730795
17	21730795	21769342	+	Zfp229	21733724
17	21730795	21769342	+	Zfp229	21735912
13	54458837	54468849	-	Thoc3	54468849
9	100597798	100959375	+	Stag1	100597798
9	100597798	100959375	+	Stag1	100643448
9	100597798	100959375	+	Stag1	100643613
9	100597798	100959375	+	Stag1	100643770
9	100597798	100959375	+	Stag1	100845050
9	100597798	100959375	+	Stag1	100889608
6	122707489	122714633	+	Nanog	122707489
6	122707489	122714633	+	Nanog	122707565
6	122707489	122714633	+	Nanog	122707568
1	42694925	42703176	+	Pou3f3	42694925
1	42694925	42703176	+	Pou3f3	42695768
8	56551090	56593939	+	Fbxo8	56551090
8	56551090	56593939	+	Fbxo8	56551109
8	72480641	72492614	-	Slc35e1	72492614
11	17203198	17211568	-	Pno1	17211568
19	6977741	6980501	-	Fkbp2	6980440
19	6977741	6980501	-	Fkbp2	6980501
19	6977741	6980501	-	Fkbp2	6980250
17	8988333	9011949	+	1700010I14Rik	8988333
17	8988333	9011949	+	1700010I14Rik	8988357
17	8988333	9011949	+	1700010I14Rik	8988361
17	8988333	9011949	+	1700010I14Rik	8988383
13	58806569	59133970	+	Ntrk2	58806569
13	58806569	59133970	+	Ntrk2	58806639
13	58806569	59133970	+	Ntrk2	58807697
13	58806569	59133970	+	Ntrk2	58807878
13	58806569	59133970	+	Ntrk2	58808281
13	58806569	59133970	+	Ntrk2	58808691
8	95676980	95715119	+	Ndrg4	95676980
8	95676980	95715119	+	Ndrg4	95678085
8	95676980	95715119	+	Ndrg4	95703037
8	95676980	95715119	+	Ndrg4	95703063
8	95676980	95715119	+	Ndrg4	95703070
8	95676980	95715119	+	Ndrg4	95709907
12	70453095	70468040	+	Tmx1	70453095
2	152507798	152511692	-	Defb26	152511692
16	59035563	59039767	-	Olfr187	59039767
16	59035563	59039767	-	Olfr187	59036757
11	96047432	96065388	-	Ube2z	96065388
2	60417543	60553308	-	Pla2r1	60553308
1	9545408	9547455	+	Rrs1	9545408
2	152518255	152521447	+	Defb28	152518255
5	31193227	31199143	+	Snx17	31193227
5	31193227	31199143	+	Snx17	31193242
5	31193227	31199143	+	Snx17	31193306
X	73503086	73571005	+	Atp2b3	73503086
13	22471923	22478701	+	Vmn1r201	22471923
13	22471923	22478701	+	Vmn1r201	22472016
13	22471923	22478701	+	Vmn1r201	22474618
2	152538714	152540098	-	Defb29	152540098
8	72494561	72548270	-	Med26	72548270
11	68503019	68552698	+	Pik3r6	68503019
13	43151740	43171501	-	Tbc1d7	43159308
13	43151740	43171501	-	Tbc1d7	43171484
13	43151740	43171501	-	Tbc1d7	43171348
13	43151740	43171501	-	Tbc1d7	43165293
13	43151740	43171501	-	Tbc1d7	43171483
13	43151740	43171501	-	Tbc1d7	43171501
3	102818499	102936100	-	Sycp1	102936100
3	102818499	102936100	-	Sycp1	102936090
19	42163951	42194590	+	Zfyve27	42170567
19	42163951	42194590	+	Zfyve27	42170594
19	42163951	42194590	+	Zfyve27	42178823
16	59067140	59078005	-	Olfr190	59078005
16	59067140	59078005	-	Olfr190	59075078
2	24925352	24935252	-	Arrdc1	24935163
2	24925352	24935252	-	Arrdc1	24935252
2	24925352	24935252	-	Arrdc1	24935174
2	24925352	24935252	-	Arrdc1	24935054
12	24572283	24617391	+	Grhl1	24572283
12	24572283	24617391	+	Grhl1	24580749
5	76974683	76999937	+	Srp72	76974683
5	76974683	76999937	+	Srp72	76974707
16	59082829	59089822	-	Olfr191	59089822
16	59082829	59089822	-	Olfr191	59086481
11	5569684	5689337	+	Ankrd36	5569697
11	5569684	5689337	+	Ankrd36	5569817
11	5569684	5689337	+	Ankrd36	5628738
11	5569684	5689337	+	Ankrd36	5569684
4	41465151	41480926	+	Nudt2	41465151
11	69810965	69815298	-	Gm39566	69815298
2	131262495	131299188	+	Pank2	131262500
2	131262495	131299188	+	Pank2	131262796
7	28399522	28598144	-	Samd4b	28436191
7	28399522	28598144	-	Samd4b	28404031
7	28399522	28598144	-	Samd4b	28598144
18	31909098	31911824	-	Sft2d3	31911824
11	69803603	69805624	-	Tmem102	69805624
4	34743784	34756263	-	Gm136	34756263
14	51255262	51256112	-	Rnase2a	51256112
14	21481434	21672478	+	Kat6b	21481434
14	21481434	21672478	+	Kat6b	21499770
14	21481434	21672478	+	Kat6b	21499785
14	21481434	21672478	+	Kat6b	21500853
14	21481434	21672478	+	Kat6b	21516875
14	21481434	21672478	+	Kat6b	21516751
10	41476314	41487032	+	Mical1	41476314
10	41476314	41487032	+	Mical1	41476368
10	41476314	41487032	+	Mical1	41477079
7	28508836	28510455	-	Ifnl2	28510455
11	31357307	31370074	-	Stc2	31370074
5	11770548	11775300	+	Gm8926	11770548
5	11770548	11775300	+	Gm8926	11771686
19	12888266	12893524	-	Olfr1446	12893524
19	12888266	12893524	-	Olfr1446	12890658
4	62499008	62503467	-	Hdhd3	62502276
11	59155369	59163739	-	Iba57	59163739
11	59155369	59163739	-	Iba57	59163317
11	59155369	59163739	-	Iba57	59163700
7	45816460	45824782	-	Kcnj14	45824782
7	45816460	45824782	-	Kcnj14	45823344
18	60268305	60273272	-	Gm4841	60273272
8	64999307	65018584	-	Trim60	65018584
2	31245823	31295989	+	Ncs1	31245823
11	69901072	69913820	+	Neurl4	69901816
11	69901072	69913820	+	Neurl4	69901891
11	69901072	69913820	+	Neurl4	69911036
12	102899316	102900526	+	Cox8c	102899316
8	105713854	105758664	-	Gfod2	105758664
8	105713854	105758664	-	Gfod2	105758630
12	112934291	112942124	-	Nudt14	112942124
12	112934291	112942124	-	Nudt14	112942117
12	112934291	112942124	-	Nudt14	112942110
7	79374870	79387048	-	Rlbp1	79387048
7	79374870	79387048	-	Rlbp1	79386959
7	79374870	79387048	-	Rlbp1	79384112
7	79374870	79387048	-	Rlbp1	79386541
7	79374870	79387048	-	Rlbp1	79386605
7	79374870	79387048	-	Rlbp1	79386474
7	79374870	79387048	-	Rlbp1	79386912
1	58278326	58380259	+	Aox2	58278326
10	28668360	28883818	+	Themis	28668360
10	28668360	28883818	+	Themis	28668397
10	28668360	28883818	+	Themis	28668633
Y	38476061	38502238	-	Gm20897	38502238
8	65028417	65037336	-	Apela	65037336
8	65028417	65037336	-	Apela	65037172
6	42739371	42746963	+	Olfr453	42739371
6	42739371	42746963	+	Olfr453	42744039
13	62836877	62858422	-	Fbp2	62858422
19	6061192	6062472	+	Znhit2	6061192
13	43615710	43670945	+	Rnf182	43615710
13	43615710	43670945	+	Rnf182	43615983
12	119314270	119469987	+	Macc1	119314270
12	119314270	119469987	+	Macc1	119327608
12	119314270	119469987	+	Macc1	119390375
12	119314270	119469987	+	Macc1	119392583
12	119314270	119469987	+	Macc1	119443410
8	65012987	65018523	-	Trim61	65014510
8	65012987	65018523	-	Trim61	65018523
8	46206797	46211284	-	Slc25a4	46211284
2	6188465	6213033	-	Echdc3	6213033
6	29735503	29761365	+	Smo	29735694
8	84097072	84104768	-	Dcaf15	84104762
8	84097072	84104768	-	Dcaf15	84104763
8	124671332	124721983	-	Ttc13	124721964
8	124671332	124721983	-	Ttc13	124721968
8	124671332	124721983	-	Ttc13	124721978
8	124671332	124721983	-	Ttc13	124721972
8	124671332	124721983	-	Ttc13	124721983
8	124671332	124721983	-	Ttc13	124709948
12	4833174	4841591	-	Fkbp1b	4841591
12	4833174	4841591	-	Fkbp1b	4841435
7	81533308	81566944	-	Fsd2	81566944
5	43662346	43740972	+	Cc2d2a	43662346
5	43662346	43740972	+	Cc2d2a	43672289
18	60293380	60303016	+	F830016B08Rik	60293380
6	85431989	85446435	+	Smyd5	85431989
7	26607636	26618464	-	Vmn1r185	26618464
7	26607636	26618464	-	Vmn1r185	26612164
18	70568189	70626131	+	Mbd2	70568189
18	70568189	70626131	+	Mbd2	70568334
8	27225776	27250616	-	Adrb3	27229588
8	27225776	27250616	-	Adrb3	27228583
8	27225776	27250616	-	Adrb3	27228494
13	30136489	30246717	+	Mboat1	30136489
11	59175568	59183213	-	Gjc2	59182826
11	59175568	59183213	-	Gjc2	59183213
13	38204938	38227665	+	Snrnp48	38204945
13	38204938	38227665	+	Snrnp48	38204951
Y	51125220	51151484	+	Gm21117	51125220
Y	51125220	51151484	+	Gm21117	51126655
10	39732118	39875211	+	Rev3l	39732118
10	39732118	39875211	+	Rev3l	39732364
Y	19113007	19139093	+	Gm35134	19113007
5	11845539	11850352	+	Gm6465	11845539
7	3154658	3169203	-	AU018091	3169203
7	3154658	3169203	-	AU018091	3169105
11	69632990	69653297	+	Fxr2	69632990
5	102481391	102897937	+	Arhgap24	102481391
5	102481391	102897937	+	Arhgap24	102481553
5	102481391	102897937	+	Arhgap24	102724973
5	102481391	102897937	+	Arhgap24	102768771
5	102481391	102897937	+	Arhgap24	102845007
5	120628335	120634235	-	Cfap73	120634235
7	108313451	108318827	+	Olfr491	108313482
7	108313451	108318827	+	Olfr491	108313451
7	108313451	108318827	+	Olfr491	108316896
19	12899434	12903743	-	Olfr1447	12903743
19	12899434	12903743	-	Olfr1447	12901861
19	12899434	12903743	-	Olfr1447	12903730
5	110773667	110780659	-	Pus1	110779967
5	110773667	110780659	-	Pus1	110780596
5	110773667	110780659	-	Pus1	110780659
5	110773667	110780659	-	Pus1	110780146
5	110773667	110780659	-	Pus1	110780591
5	110773667	110780659	-	Pus1	110780615
5	21884454	22344702	-	Reln	22344702
5	21884454	22344702	-	Reln	22344690
6	125223933	125231860	-	Tapbpl	125231860
5	120612739	120628592	+	Ddx54	120612739
7	108322730	108323674	-	Olfr492	108323674
1	58210397	58268597	+	Aox4	58210397
16	4639989	4707695	+	Dnaja3	4684070
16	4639989	4707695	+	Dnaja3	4684096
16	4639989	4707695	+	Dnaja3	4684115
11	88294058	88295261	+	Ccdc182	88294058
13	24751845	24761923	-	Gmnn	24761861
13	24751845	24761923	-	Gmnn	24761923
13	24751845	24761923	-	Gmnn	24761476
13	24751845	24761923	-	Gmnn	24761440
7	31059342	31070935	+	Lgi4	31059342
7	31059342	31070935	+	Lgi4	31063550
2	6322263	6323080	-	AL845275.1	6323080
11	31665181	31671885	-	Bod1	31671885
11	31665181	31671885	-	Bod1	31671727
6	47835661	47873537	+	Zfp398	47835664
6	47835661	47873537	+	Zfp398	47835695
10	88091072	88092375	+	Pmch	88091072
6	125215551	125245964	+	Vamp1	125215551
6	125215551	125245964	+	Vamp1	125215581
6	125215551	125245964	+	Vamp1	125218574
2	28641228	28691167	+	Tsc1	28641237
2	28641228	28691167	+	Tsc1	28641241
2	28641228	28691167	+	Tsc1	28641243
2	28641228	28691167	+	Tsc1	28658567
2	6322667	6446390	+	Usp6nl	6322667
2	6322667	6446390	+	Usp6nl	6352733
5	24423837	24440950	+	Slc4a2	24423837
5	24423837	24440950	+	Slc4a2	24423859
5	24423837	24440950	+	Slc4a2	24425232
5	24423837	24440950	+	Slc4a2	24426831
5	24423837	24440950	+	Slc4a2	24428208
5	24423837	24440950	+	Slc4a2	24428423
2	92599707	92615250	+	Chst1	92599707
11	93885852	93946985	+	Mbtd1	93886217
11	93885852	93946985	+	Mbtd1	93886219
11	93885852	93946985	+	Mbtd1	93905153
11	93885852	93946985	+	Mbtd1	93885852
11	93885852	93946985	+	Mbtd1	93885866
11	93885852	93946985	+	Mbtd1	93886880
12	8208107	8285759	+	Ldah	8208107
12	8208107	8285759	+	Ldah	8208134
12	8208107	8285759	+	Ldah	8208145
12	8208107	8285759	+	Ldah	8208147
12	8208107	8285759	+	Ldah	8208150
12	8208107	8285759	+	Ldah	8208193
12	8208107	8285759	+	Ldah	8268363
12	8208107	8285759	+	Ldah	8268420
10	88091432	88146941	-	Parpbp	88146941
10	88091432	88146941	-	Parpbp	88146878
10	88091432	88146941	-	Parpbp	88146933
11	60469339	60528369	+	Myo15	60469339
11	60469339	60528369	+	Myo15	60479915
11	60469339	60528369	+	Myo15	60480345
3	14606284	14611285	-	Rbis	14611285
3	14606284	14611285	-	Rbis	14611221
3	14606284	14611285	-	Rbis	14611261
3	14606284	14611285	-	Rbis	14611254
8	69610857	69625548	-	Zfp868	69625548
8	69610857	69625548	-	Zfp868	69619352
4	58782704	58787716	-	Olfr267	58787716
4	58782704	58787716	-	Olfr267	58785722
7	3218784	3249740	-	Nlrp12	3249613
4	98936671	99120915	-	Dock7	99120915
4	98936671	99120915	-	Dock7	99120762
4	98936671	99120915	-	Dock7	99009305
4	98936671	99120915	-	Dock7	99009270
7	31068172	31076704	-	Fxyd3	31076704
7	31068172	31076704	-	Fxyd3	31076669
7	31068172	31076704	-	Fxyd3	31074952
11	95261529	95269265	+	Tac4	95261529
4	115056426	115071755	+	Tal1	115057811
4	115056426	115071755	+	Tal1	115059508
4	115056426	115071755	+	Tal1	115056426
4	115056426	115071755	+	Tal1	115057438
2	25428703	25448540	+	Abca2	25428703
4	101419277	101466995	+	Ak4	101419277
4	101419277	101466995	+	Ak4	101419289
4	101419277	101466995	+	Ak4	101419319
4	101419277	101466995	+	Ak4	101419706
4	101419277	101466995	+	Ak4	101419733
4	101419277	101466995	+	Ak4	101447223
18	60376027	60392634	+	Iigp1	60376047
18	60376027	60392634	+	Iigp1	60382683
18	60376027	60392634	+	Iigp1	60376029
10	19621998	19634681	+	Il22ra2	19621998
3	14578641	14606309	+	E2f5	14578641
3	14578641	14606309	+	E2f5	14578671
10	99757706	99759658	-	Csl	99759658
19	12916661	12924419	-	Olfr1448	12924419
19	12916661	12924419	-	Olfr1448	12920307
7	28179469	28187294	+	Dyrk1b	28179469
7	28179469	28187294	+	Dyrk1b	28179494
7	28179469	28187294	+	Dyrk1b	28180266
6	90656088	90988685	-	Iqsec1	90716529
6	90656088	90988685	-	Iqsec1	90988685
6	90656088	90988685	-	Iqsec1	90781972
6	90656088	90988685	-	Iqsec1	90764141
6	90656088	90988685	-	Iqsec1	90810123
4	143846497	143853637	+	Gm13103	143846497
4	143846497	143853637	+	Gm13103	143846507
4	143846497	143853637	+	Gm13103	143846509
5	23838944	23844161	-	Tomm7	23844161
5	3341485	3531008	+	Cdk6	3341485
5	3341485	3531008	+	Cdk6	3343732
5	3341485	3531008	+	Cdk6	3343893
5	3341485	3531008	+	Cdk6	3343916
5	3341485	3531008	+	Cdk6	3344312
7	26665227	26686437	-	Cyp2b23	26686437
6	125232622	125237010	-	Cd27	125237010
6	125232622	125237010	-	Cd27	125236994
6	125232622	125237010	-	Cd27	125236953
11	40733667	40740046	+	Nudcd2	40733667
11	40733667	40740046	+	Nudcd2	40733946
14	4555405	4562747	+	Gm3047	4555405
14	4555405	4562747	+	Gm3047	4555410
7	13733505	13779636	+	Sult2a2	13733505
1	16540790	16619489	-	Ube2w	16619312
1	16540790	16619489	-	Ube2w	16619489
13	9684833	9765330	-	Zmynd11	9765314
13	9684833	9765330	-	Zmynd11	9764423
13	9684833	9765330	-	Zmynd11	9764488
13	9684833	9765330	-	Zmynd11	9765160
13	9684833	9765330	-	Zmynd11	9764470
13	9684833	9765330	-	Zmynd11	9764956
13	9684833	9765330	-	Zmynd11	9720928
13	9684833	9765330	-	Zmynd11	9735449
13	9684833	9765330	-	Zmynd11	9764873
13	9684833	9765330	-	Zmynd11	9765270
13	9684833	9765330	-	Zmynd11	9764444
13	9684833	9765330	-	Zmynd11	9764937
13	9684833	9765330	-	Zmynd11	9765321
13	9684833	9765330	-	Zmynd11	9764418
13	9684833	9765330	-	Zmynd11	9735884
13	9684833	9765330	-	Zmynd11	9765207
13	9684833	9765330	-	Zmynd11	9764454
17	13948373	13950678	+	Gm7168	13948373
8	110101207	110111961	+	Tle7	110101207
8	110101207	110111961	+	Tle7	110108792
8	110101207	110111961	+	Tle7	110109772
10	40570336	40604132	+	Slc22a16	40570336
10	40570336	40604132	+	Slc22a16	40570613
6	131284388	131293244	-	Magohb	131293244
6	131284388	131293244	-	Magohb	131292260
4	138216296	138244683	+	Hp1bp3	138216296
4	138216296	138244683	+	Hp1bp3	138216635
4	138216296	138244683	+	Hp1bp3	138217127
4	138216296	138244683	+	Hp1bp3	138217294
4	138216296	138244683	+	Hp1bp3	138216626
4	138216296	138244683	+	Hp1bp3	138216634
4	138216296	138244683	+	Hp1bp3	138228583
4	138216296	138244683	+	Hp1bp3	138216627
4	138216296	138244683	+	Hp1bp3	138217131
1	37985189	37997893	-	Txndc9	37997315
1	37985189	37997893	-	Txndc9	37997243
1	37985189	37997893	-	Txndc9	37997893
1	37985189	37997893	-	Txndc9	37995845
1	37985189	37997893	-	Txndc9	37997616
1	37985189	37997893	-	Txndc9	37996658
7	103134376	103135323	+	Olfr587-ps1	103134766
17	14000239	14003704	-	Gm7356	14003704
8	110079746	110092741	+	Zfp612	110079762
8	110079746	110092741	+	Zfp612	110079764
13	94057796	94195409	+	Lhfpl2	94057796
13	94057796	94195409	+	Lhfpl2	94083511
13	94057796	94195409	+	Lhfpl2	94094461
13	94057796	94195409	+	Lhfpl2	94117942
13	94057796	94195409	+	Lhfpl2	94134740
13	94057796	94195409	+	Lhfpl2	94172810
13	94057796	94195409	+	Lhfpl2	94173992
7	103140879	103147864	+	Olfr588-ps1	103140879
7	103140879	103147864	+	Olfr588-ps1	103143590
10	3256208	3267771	-	H60c	3267750
10	3256208	3267771	-	H60c	3267771
4	147868979	147870358	+	Fv1	147868979
8	46292039	46294671	-	Helt	46294671
8	46292039	46294671	-	Helt	46293989
12	38779380	38870484	+	Etv1	38779380
12	38779380	38870484	+	Etv1	38780082
12	38779380	38870484	+	Etv1	38780284
12	38779380	38870484	+	Etv1	38780319
12	38779380	38870484	+	Etv1	38780349
12	38779380	38870484	+	Etv1	38780848
12	38779380	38870484	+	Etv1	38781129
12	38779380	38870484	+	Etv1	38783470
12	38779380	38870484	+	Etv1	38783481
12	38779380	38870484	+	Etv1	38783509
18	21061923	21100199	+	Mep1b	21061923
18	21061923	21100199	+	Mep1b	21072344
7	4481520	4501680	-	Ppp1r12c	4501361
7	4481520	4501680	-	Ppp1r12c	4501680
1	86344719	86359400	-	Ncl	86359400
1	86344719	86359400	-	Ncl	86358969
13	97241105	97253034	+	Enc1	97241105
11	86544991	86567360	+	Tubd1	86544991
11	86544991	86567360	+	Tubd1	86555195
8	69654479	69666982	+	Zfp964	69654492
8	69654479	69666982	+	Zfp964	69659263
7	127382260	127387166	-	9130019O22Rik	127387166
7	127382260	127387166	-	9130019O22Rik	127387113
13	65138089	65146047	+	Olfr465-ps1	65138089
17	23384604	23404422	+	Vmn2r116	23384604
5	30905885	30907788	-	Ost4	30907788
5	30905885	30907788	-	Ost4	30907725
8	84125989	84132527	+	Podnl1	84125989
12	69690433	69724873	-	L2hgdh	69724873
4	155864723	155869440	-	Cptp	155869440
4	155864723	155869440	-	Cptp	155868818
5	67094399	67099301	-	Phox2b	67099301
5	67094399	67099301	-	Phox2b	67099057
10	80826656	80829290	+	Oaz1	80826683
10	80826656	80829290	+	Oaz1	80826686
10	80826656	80829290	+	Oaz1	80826693
10	80826656	80829290	+	Oaz1	80827712
10	80826656	80829290	+	Oaz1	80828593
10	80826656	80829290	+	Oaz1	80826656
8	95825346	95826134	+	Sap18b	95825346
17	24696234	24700529	+	Noxo1	24696234
7	81571266	81596836	+	Whamm	81571292
7	81571266	81596836	+	Whamm	81571944
7	3289080	3300442	+	Myadm	3289080
7	3289080	3300442	+	Myadm	3290534
7	3289080	3300442	+	Myadm	3290575
7	3289080	3300442	+	Myadm	3291490
7	3289080	3300442	+	Myadm	3293094
5	30888694	30906965	+	Agbl5	30888694
5	30888694	30906965	+	Agbl5	30888935
5	30888694	30906965	+	Agbl5	30888969
5	30888694	30906965	+	Agbl5	30888974
5	30888694	30906965	+	Agbl5	30889006
5	30888694	30906965	+	Agbl5	30889326
5	30888694	30906965	+	Agbl5	30894997
5	30888694	30906965	+	Agbl5	30895933
5	30888694	30906965	+	Agbl5	30888852
16	4626133	4679777	-	Coro7	4679777
3	52268336	52353221	+	Foxo1	52268336
5	137892932	137921619	-	Cyp3a13	137921619
19	12930840	12935752	+	Olfr1449	12930867
19	12930840	12935752	+	Olfr1449	12930840
19	12930840	12935752	+	Olfr1449	12930845
19	12930840	12935752	+	Olfr1449	12934737
5	51454250	51567726	-	Ppargc1a	51553922
5	51454250	51567726	-	Ppargc1a	51553891
5	51454250	51567726	-	Ppargc1a	51567726
1	120006894	120063536	+	Sctr	120006894
1	120006894	120063536	+	Sctr	120007034
2	69758033	69789575	-	Ccdc173	69789575
12	111574523	111656221	+	Mark3	111574523
12	111574523	111656221	+	Mark3	111574527
12	111574523	111656221	+	Mark3	111575051
7	43408204	43418358	+	Siglecg	43408204
7	120102353	120120992	+	Tmem159	120102353
7	120102353	120120992	+	Tmem159	120102490
